LV ActivePower (kW);;abs;abs^2;;MAPE;mse;RMSE
0.997168813;1.07942779;0.082258977;0.006766539;;;;
0.994443053;1.053424261;0.058981207;0.003478783;;;;
0.999164091;1.114464521;0.11530043;0.013294189;;;;
0.999256451;1.103631356;0.104374905;0.010894121;;;;
0.999201266;1.132028313;0.132827047;0.017643024;;;;
0.99918901;1.117302674;0.118113665;0.013950838;;;;
0.999151294;1.117616977;0.118465683;0.014034118;;;;
0.999113307;1.082366729;0.083253422;0.006931132;;;;
0.999131657;1.105890912;0.106759255;0.011397538;;;;
0.998928046;1.096652884;0.097724838;0.009550144;;;;
0.999134095;1.076824173;0.077690078;0.006035748;;;;
0.985114937;1.071747029;0.086632092;0.007505119;;;;
0.979269197;1.071476679;0.092207481;0.00850222;;;;
0.993307856;1.08736503;0.094057173;0.008846752;;;;
0.996794093;1.161827668;0.165033575;0.027236081;;;;
0.998666203;1.101751113;0.10308491;0.010626499;;;;
0.998477353;1.116228448;0.117751095;0.01386532;;;;
0.998968538;1.093157241;0.094188703;0.008871512;;;;
0.998588266;1.105030779;0.106442513;0.011330009;;;;
0.99909665;1.119494559;0.120397909;0.014495656;;;;
0.999177634;1.110584879;0.111407245;0.012411574;;;;
0.984858646;1.02154675;0.036688104;0.001346017;;;;
0.999207631;1.100001183;0.100793553;0.01015934;;;;
0.998129583;1.066264381;0.068134798;0.004642351;;;;
0.973302049;0.941317388;0.031984662;0.001023019;;;;
0.999160164;1.097158075;0.097997911;0.009603591;;;;
0.990850238;1.041850481;0.051000243;0.002601025;;;;
0.998853969;1.075384315;0.076530346;0.005856894;;;;
0.995773736;1.081275757;0.085502021;0.007310596;;;;
0.999208172;1.124163901;0.124955729;0.015613934;;;;
0.999109989;1.113480172;0.114370182;0.013080539;;;;
0.999150211;1.108671548;0.109521338;0.011994923;;;;
0.99901763;1.084737808;0.085720179;0.007347949;;;;
0.998960481;1.120296772;0.121336292;0.014722496;;;;
0.999025959;1.122579891;0.123553933;0.015265574;;;;
0.997943171;1.086269488;0.088326317;0.007801538;;;;
0.998989868;1.053090836;0.054100968;0.002926915;;;;
0.996998245;1.078509223;0.081510978;0.00664404;;;;
0.998937188;1.090793678;0.09185649;0.008437615;;;;
0.998821535;1.106021833;0.107200298;0.011491904;;;;
0.999050335;1.128614694;0.129564359;0.016786923;;;;
0.999128272;1.116857582;0.117729311;0.013860191;;;;
0.998992102;1.129051931;0.130059829;0.016915559;;;;
0.998826817;1.127073707;0.128246891;0.016447265;;;;
0.998934953;1.129933408;0.130998455;0.017160595;;;;
0.999037334;1.133462229;0.134424895;0.018070052;;;;
0.99908866;1.130691512;0.131602852;0.017319311;;;;
0.999014041;1.113272493;0.114258452;0.013054994;;;;
0.998927776;1.121226167;0.122298391;0.014956897;;;;
0.998973008;1.099922703;0.100949695;0.010190841;;;;
0.998887013;1.082767429;0.083880416;0.007035924;;;;
0.998849839;1.106021962;0.107172123;0.011485864;;;;
0.998831285;1.133207247;0.134375961;0.018056899;;;;
0.998913082;1.137171046;0.138257964;0.019115264;;;;
0.999047897;1.127972435;0.128924538;0.016621536;;;;
0.999039298;1.101776116;0.102736819;0.010554854;;;;
0.997523828;1.080672262;0.083148434;0.006913662;;;;
0.998916942;1.119571661;0.120654719;0.014557561;;;;
0.990194309;1.059195369;0.06900106;0.004761146;;;;
0.982224975;1.06528781;0.083062835;0.006899434;;;;
0.992150179;1.060280167;0.068129988;0.004641695;;;;
0.997103064;1.078082086;0.080979022;0.006557602;;;;
0.998053;1.094571512;0.096518511;0.009315823;;;;
0.995487787;1.054542131;0.059054344;0.003487416;;;;
0.998293447;1.042591729;0.044298283;0.001962338;;;;
0.998852615;1.087745821;0.088893206;0.007902002;;;;
0.999188739;1.056147591;0.056958852;0.003244311;;;;
0.997241197;1.03821732;0.040976123;0.001679043;;;;
0.996535093;1.062849931;0.066314838;0.004397658;;;;
0.998611017;1.0827096;0.084098582;0.007072572;;;;
0.998427991;1.050457604;0.052029613;0.002707081;;;;
0.998659838;1.058894049;0.060234211;0.00362816;;;;
0.999165987;1.063236739;0.064070752;0.004105061;;;;
0.99910139;1.080453003;0.081351613;0.006618085;;;;
0.998934411;1.052687578;0.053753166;0.002889403;;;;
0.998560301;1.052716977;0.054156676;0.002932946;;;;
0.999223678;1.09152822;0.092304542;0.008520128;;;;
0.994765296;1.058012877;0.063247581;0.004000256;;;;
0.998066881;1.066257706;0.068190825;0.004649989;;;;
0.998825462;1.059065477;0.060240015;0.003628859;;;;
0.999104979;1.080800849;0.08169587;0.006674215;;;;
0.999170998;1.080268203;0.081097205;0.006576757;;;;
0.998249908;1.08038772;0.082137813;0.00674662;;;;
0.998523939;1.086938335;0.088414396;0.007817105;;;;
0.998693694;1.096020624;0.097326929;0.009472531;;;;
0.998952152;1.121257173;0.122305021;0.014958518;;;;
0.99818531;1.100620648;0.102435338;0.010492998;;;;
0.998946329;1.120337385;0.121391057;0.014735789;;;;
0.998981607;1.07580894;0.076827333;0.005902439;;;;
0.997462278;1.068222859;0.070760581;0.00500706;;;;
0.998943282;1.092620624;0.093677342;0.008775444;;;;
0.994848515;1.098798332;0.103949817;0.010805564;;;;
0.998497328;1.138612301;0.140114972;0.019632205;;;;
0.998856745;1.11871506;0.119858314;0.014366016;;;;
0.998918635;1.087572316;0.088653682;0.007859475;;;;
0.998464623;1.103015697;0.104551074;0.010930927;;;;
0.998809888;1.111135935;0.112326047;0.012617141;;;;
0.998700601;1.093252537;0.094551936;0.008940069;;;;
0.990680754;1.018815534;0.02813478;0.000791566;;;;
0.982518373;1.047552713;0.06503434;0.004229465;;;;
0.99731717;1.087342631;0.09002546;0.008104584;;;;
0.999085275;1.10779954;0.108714265;0.011818791;;;;
0.999152445;1.099267693;0.100115248;0.010023063;;;;
0.999254487;1.096478309;0.097223822;0.009452471;;;;
0.999215688;1.090140489;0.0909248;0.008267319;;;;
0.999289427;1.08336489;0.084075463;0.007068684;;;;
0.999242841;1.093145171;0.09390233;0.008817648;;;;
0.999129694;1.084924301;0.085794607;0.007360715;;;;
0.999243924;1.075303768;0.076059844;0.0057851;;;;
0.999244805;1.084405954;0.085161149;0.007252421;;;;
0.999359577;1.085318098;0.085958521;0.007388867;;;;
0.99929999;1.086896083;0.087596093;0.007673076;;;;
0.998278482;1.048597492;0.05031901;0.002532003;;;;
0.992902327;1.004302985;0.011400658;0.000129975;;;;
0.971761662;1.001612128;0.029850467;0.00089105;;;;
0.961162179;1.012814095;0.051651916;0.00266792;;;;
0.988969258;1.007307775;0.018338517;0.000336301;;;;
0.994040571;1.038485195;0.044444623;0.001975325;;;;
0.997788448;1.033294677;0.035506229;0.001260692;;;;
0.943855588;1.013727612;0.069872024;0.0048821;;;;
0.656174935;0.642970327;0.013204608;0.000174362;;;;
0.729670899;0.714199789;0.01547111;0.000239355;;;;
0.720092924;0.740891533;0.020798609;0.000432582;;;;
0.655634658;0.663092514;0.007457856;5.56196E-05;;;;
0.43833175;0.382068016;0.056263734;0.003165608;;;;
0.533600508;0.540725381;0.007124873;5.07638E-05;;;;
0.468287713;0.437766853;0.03052086;0.000931523;;;;
0.3976465;0.338485945;0.059160555;0.003499971;;;;
0.547008427;0.520652147;0.02635628;0.000694654;;;;
0.602163258;0.606341527;0.00417827;1.74579E-05;;;;
0.579380095;0.590763535;0.011383441;0.000129583;;;;
0.54467953;0.523733828;0.020945702;0.000438722;;;;
0.544496199;0.556689619;0.01219342;0.000148679;;;;
0.488791341;0.474676901;0.014114439;0.000199217;;;;
0.442037408;0.416674639;0.025362769;0.00064327;;;;
0.445167308;0.394417147;0.050750161;0.002575579;;;;
0.471504996;0.44718067;0.024324326;0.000591673;;;;
0.638591197;0.577367656;0.061223541;0.003748322;;;;
0.768015639;0.872486266;0.104470627;0.010914112;;;;
0.913752588;0.993915004;0.080162416;0.006426013;;;;
0.797130378;0.814212646;0.017082267;0.000291804;;;;
0.903766308;0.949078477;0.045312169;0.002053193;;;;
0.966084052;1.013593066;0.047509014;0.002257106;;;;
0.943629496;1.018095024;0.074465527;0.005545115;;;;
0.917817968;0.967752891;0.049934923;0.002493497;;;;
0.930192732;0.920392864;0.009799869;9.60374E-05;;;;
0.958350696;1.033958537;0.075607841;0.005716546;;;;
0.894383615;0.925127359;0.030743744;0.000945178;;;;
0.9287034;0.965855844;0.037152444;0.001380304;;;;
0.930438528;0.949154827;0.0187163;0.0003503;;;;
0.893691866;0.953184829;0.059492963;0.003539413;;;;
0.892573597;0.927767042;0.035193445;0.001238579;;;;
0.898987579;0.964129121;0.065141542;0.00424342;;;;
0.905394653;0.940507212;0.035112559;0.001232892;;;;
0.86896475;0.90955074;0.04058599;0.001647223;;;;
0.8468969;0.918947216;0.072050316;0.005191248;;;;
0.848965917;0.878456437;0.02949052;0.000869691;;;;
0.945469172;1.015161807;0.069692634;0.004857063;;;;
0.927151907;0.967548021;0.040396113;0.001631846;;;;
0.974078371;1.01152823;0.037449859;0.001402492;;;;
0.966139779;1.022752543;0.056612763;0.003205005;;;;
0.978721202;1.028137137;0.049415936;0.002441935;;;;
0.929633632;0.979313849;0.049680217;0.002468124;;;;
0.950223525;0.992616155;0.04239263;0.001797135;;;;
0.876896706;0.936898953;0.060002247;0.00360027;;;;
0.86795692;0.93470259;0.06674567;0.004454984;;;;
0.840248837;0.933454414;0.093205577;0.00868728;;;;
0.757365372;0.814975666;0.057610293;0.003318946;;;;
0.817200241;0.847418438;0.030218197;0.000913139;;;;
0.912597957;0.950612466;0.038014509;0.001445103;;;;
0.993792338;1.044902838;0.0511105;0.002612283;;;;
0.948860611;0.994217858;0.045357247;0.00205728;;;;
0.921671746;0.955994511;0.034322765;0.001178052;;;;
0.880799847;0.962244334;0.081444487;0.006633204;;;;
0.932111157;0.980986222;0.048875065;0.002388772;;;;
0.907305901;0.95535353;0.048047628;0.002308575;;;;
0.767381311;0.838665119;0.071283808;0.005081381;;;;
0.772188614;0.857471772;0.085283158;0.007273217;;;;
0.740152766;0.782084367;0.041931601;0.001758259;;;;
0.617233379;0.687362696;0.070129317;0.004918121;;;;
0.624753712;0.660555551;0.03580184;0.001281772;;;;
0.722435703;0.803712218;0.081276515;0.006605872;;;;
0.868524891;0.953412635;0.084887744;0.007205929;;;;
0.783501446;0.885301267;0.101799821;0.010363204;;;;
0.863907317;0.938426992;0.074519675;0.005553182;;;;
0.867521733;0.933255245;0.065733513;0.004320895;;;;
0.747105128;0.831920826;0.084815698;0.007193703;;;;
0.752150644;0.831043224;0.07889258;0.006224039;;;;
0.836970003;0.923900293;0.08693029;0.007556875;;;;
0.766729512;0.871315288;0.104585777;0.010938185;;;;
0.881570075;0.945552572;0.063982497;0.00409376;;;;
0.798630545;0.863150691;0.064520146;0.004162849;;;;
0.737979742;0.819515864;0.081536122;0.006648139;;;;
0.667993037;0.711038519;0.043045482;0.001852914;;;;
0.776928544;0.85304338;0.076114836;0.005793468;;;;
0.925261176;0.959103545;0.033842369;0.001145306;;;;
0.801940187;0.862230916;0.060290729;0.003634972;;;;
0.89734955;0.947847599;0.050498049;0.002550053;;;;
0.863958643;0.936972477;0.073013834;0.00533102;;;;
0.73088708;0.799003841;0.06811676;0.004639893;;;;
0.701233961;0.789316446;0.088082485;0.007758524;;;;
0.675308134;0.733008705;0.057700571;0.003329356;;;;
0.698607197;0.782607707;0.08400051;0.007056086;;;;
0.708073717;0.775098767;0.06702505;0.004492357;;;;
0.553083508;0.582334125;0.029250617;0.000855599;;;;
0.501832598;0.504198673;0.002366076;5.59831E-06;;;;
0.385415929;0.382825418;0.002590511;6.71075E-06;;;;
0.373984973;0.372823987;0.001160986;1.34789E-06;;;;
0.55611658;0.607682057;0.051565477;0.002658998;;;;
0.558267157;0.561022534;0.002755377;7.5921E-06;;;;
0.542174513;0.519740961;0.022433551;0.000503264;;;;
0.65322559;0.684040615;0.030815025;0.000949566;;;;
0.733782323;0.773519445;0.039737122;0.001579039;;;;
0.572451906;0.569239271;0.003212635;1.0321E-05;;;;
0.624380075;0.595823711;0.028556364;0.000815466;;;;
0.648751363;0.660661339;0.011909976;0.000141848;;;;
0.695328634;0.722014436;0.026685802;0.000712132;;;;
0.646901733;0.671496226;0.024594493;0.000604889;;;;
0.612981045;0.590545607;0.022435439;0.000503349;;;;
0.638860286;0.598560137;0.040300149;0.001624102;;;;
0.746870166;0.806119862;0.059249696;0.003510526;;;;
0.736248;0.758903212;0.022655212;0.000513259;;;;
0.760555435;0.81526032;0.054704885;0.002992624;;;;
0.876323115;0.906300377;0.029977262;0.000898636;;;;
0.775124349;0.811239366;0.036115016;0.001304294;;;;
0.847981922;0.901902706;0.053920784;0.002907451;;;;
0.839970674;0.866923201;0.026952527;0.000726439;;;;
0.803781217;0.880503397;0.07672218;0.005886293;;;;
0.879352632;0.937318242;0.05796561;0.003360012;;;;
0.852785027;0.837586602;0.015198425;0.000230992;;;;
0.91041024;0.939799028;0.029388788;0.000863701;;;;
0.833723604;0.882631732;0.048908128;0.002392005;;;;
0.803457553;0.860938182;0.057480629;0.003304023;;;;
0.82333105;0.858396772;0.035065722;0.001229605;;;;
0.699046785;0.751428564;0.052381779;0.002743851;;;;
0.712690479;0.775623545;0.062933066;0.003960571;;;;
0.746798053;0.829844626;0.083046573;0.006896733;;;;
0.792852856;0.848674676;0.05582182;0.003116076;;;;
0.791376185;0.853865577;0.062489391;0.003904924;;;;
0.869039369;0.927086445;0.058047076;0.003369463;;;;
0.779911949;0.848178694;0.068266746;0.004660349;;;;
0.754012529;0.849459174;0.095446645;0.009110062;;;;
0.799943283;0.873707379;0.073764096;0.005441142;;;;
0.679772948;0.75270859;0.072935642;0.005319608;;;;
0.775259165;0.858701136;0.083441972;0.006962563;;;;
0.710353253;0.784820283;0.07446703;0.005545339;;;;
0.709347589;0.774592066;0.065244477;0.004256842;;;;
0.735946206;0.796460861;0.060514655;0.003662023;;;;
0.757864615;0.842745451;0.084880836;0.007204756;;;;
0.667005723;0.718819653;0.051813929;0.002684683;;;;
0.687408121;0.749106475;0.061698354;0.003806687;;;;
0.735970041;0.771310665;0.035340624;0.00124896;;;;
0.822099363;0.875434534;0.053335171;0.00284464;;;;
0.761548368;0.790622629;0.02907426;0.000845313;;;;
0.965055366;0.996552979;0.031497613;0.0009921;;;;
0.908191443;0.92368831;0.015496867;0.000240153;;;;
0.806159477;0.848909894;0.042750417;0.001827598;;;;
0.872101591;0.917326335;0.045224745;0.002045278;;;;
0.805262831;0.87061568;0.065352849;0.004270995;;;;
0.930161991;0.953203288;0.023041297;0.000530901;;;;
0.964504256;0.981535512;0.017031256;0.000290064;;;;
0.953680103;0.98707668;0.033396576;0.001115331;;;;
0.956460303;0.972702965;0.016242662;0.000263824;;;;
0.954810019;0.95829166;0.003481642;1.21218E-05;;;;
0.995808134;1.014805468;0.018997334;0.000360899;;;;
0.968032677;0.980558451;0.012525774;0.000156895;;;;
0.993524468;1.010030233;0.016505765;0.00027244;;;;
0.962031944;0.972926526;0.010894583;0.000118692;;;;
0.976279969;0.997195205;0.020915236;0.000437447;;;;
0.987063562;0.994151464;0.007087902;5.02384E-05;;;;
0.983686004;1.006346569;0.022660565;0.000513501;;;;
0.979128627;0.979984666;0.000856039;7.32803E-07;;;;
0.963169104;0.969289062;0.006119958;3.74539E-05;;;;
0.897334856;0.936820977;0.039486121;0.001559154;;;;
0.878462621;0.931396887;0.052934266;0.002802037;;;;
0.897529868;0.94377863;0.046248762;0.002138948;;;;
0.954914296;0.982528072;0.027613776;0.000762521;;;;
0.874836017;0.92127722;0.046441203;0.002156785;;;;
0.907772913;0.960517887;0.052744974;0.002782032;;;;
0.763171433;0.846416252;0.083244819;0.0069297;;;;
0.659450721;0.714173274;0.054722553;0.002994558;;;;
0.686977674;0.7489198;0.061942126;0.003836827;;;;
0.739629688;0.823505194;0.083875506;0.0070351;;;;
0.178759089;0.377910961;0.199151872;0.039661468;;;;
0.483465124;0.54707177;0.063606646;0.004045805;;;;
0.605991238;0.666873169;0.060881931;0.00370661;;;;
0.567895646;0.603344361;0.035448715;0.001256611;;;;
0.689001189;0.763805848;0.074804658;0.005595737;;;;
0.628534226;0.705700237;0.077166012;0.005954593;;;;
0.57341464;0.624652261;0.051237622;0.002625294;;;;
0.628494885;0.718334949;0.089840065;0.008071237;;;;
0.666195545;0.745814519;0.079618974;0.006339181;;;;
0.714959451;0.825053282;0.110093831;0.012120652;;;;
0.711793764;0.821445155;0.109651391;0.012023428;;;;
0.748954758;0.863203471;0.114248714;0.013052769;;;;
0.692081964;0.826023609;0.133941645;0.017940364;;;;
0.589715025;0.69189294;0.102177915;0.010440326;;;;
0.622118348;0.730735542;0.108617194;0.011797695;;;;
0.630629651;0.743163348;0.112533697;0.012663833;;;;
0.588258059;0.690950912;0.102692852;0.010545822;;;;
0.637058597;0.730890824;0.093832228;0.008804487;;;;
0.534440344;0.614142712;0.079702368;0.006352467;;;;
0.508397205;0.568837569;0.060440364;0.003653038;;;;
0.471160509;0.519851014;0.048690505;0.002370765;;;;
0.389020933;0.421477274;0.032456342;0.001053414;;;;
0.534456426;0.612580707;0.078124282;0.006103403;;;;
0.58875263;0.684428762;0.095676131;0.009153922;;;;
0.636608175;0.767725242;0.131117068;0.017191685;;;;
0.606740407;0.70669514;0.099954733;0.009990949;;;;
0.469753515;0.525748451;0.055994936;0.003135433;;;;
0.390732429;0.435536735;0.044804306;0.002007426;;;;
0.364346497;0.435710099;0.071363602;0.005092764;;;;
0.281464167;0.336684276;0.05522011;0.00304926;;;;
0.271483489;0.333636825;0.062153336;0.003863037;;;;
0.303760292;0.357569489;0.053809197;0.00289543;;;;
0.187634515;0.163715573;0.023918942;0.000572116;;;;
0.155730723;0.135525671;0.020205052;0.000408244;;;;
0.073280448;0.051017848;0.0222626;0.000495623;;;;
0.085912587;0.069185491;0.016727096;0.000279796;;;;
0.058771565;0.075613907;0.016842342;0.000283664;;;;
0.076866137;0.085060858;0.008194721;6.71534E-05;;;;
0.093564104;0.108666949;0.015102845;0.000228096;;;;
0.129464633;0.155208224;0.025743591;0.000662732;;;;
0.128113137;0.150628039;0.022514902;0.000506921;;;;
0.105840381;0.126446352;0.020605971;0.000424606;;;;
0.072478793;0.092977416;0.020498622;0.000420194;;;;
0.063595395;0.090100071;0.026504676;0.000702498;;;;
0.02652984;0.055566534;0.029036694;0.00084313;;;;
0.014160128;0.038981166;0.024821037;0.000616084;;;;
0.025706701;0.046776938;0.021070237;0.000443955;;;;
0.000254218;0.012746948;0.01249273;0.000156068;;;;
0.000298742;0.005384565;0.005085823;2.58656E-05;;;;
0.000298742;0.02052757;0.020228828;0.000409205;;;;
0.01231605;0.036706972;0.024390922;0.000594917;;;;
0.018671307;0.043206483;0.024535176;0.000601975;;;;
0.002610668;0.028497065;0.025886397;0.000670106;;;;
0.007625266;0.025347901;0.017722635;0.000314092;;;;
0.000249133;0.0036756;0.003426467;1.17407E-05;;;;
0.000298742;0.015733171;0.015434429;0.000238222;;;;
0.024941444;0.05813424;0.033192796;0.001101762;;;;
0.028529691;0.044611948;0.016082257;0.000258639;;;;
0.001689043;0.013175327;0.011486284;0.000131935;;;;
0.000298742;0.026162944;0.025864202;0.000668957;;;;
0.000298742;0.010637033;0.010338291;0.00010688;;;;
0.000298742;0.020722166;0.020423424;0.000417116;;;;
0.000298742;0.012134047;0.011835305;0.000140074;;;;
0.000298742;0.013550387;0.013251645;0.000175606;;;;
0.000298742;0.002947822;0.00264908;7.01762E-06;;;;
0.000298742;0.000750774;0.000452032;2.04333E-07;;;;
0.000298742;-0.001215089;0.001513831;2.29168E-06;;;;
0.000298742;-0.00907172;0.009370462;8.78056E-05;;;;
0.000298742;-0.012223014;0.012521756;0.000156794;;;;
0.000298742;-0.009479684;0.009778426;9.56176E-05;;;;
0.000298742;-0.003260629;0.003559371;1.26691E-05;;;;
0.000298742;-0.021194166;0.021492908;0.000461945;;;;
0.000298742;-1.81E-02;0.018439363;0.00034001;;;;
0.000298742;-0.024394089;0.024692831;0.000609736;;;;
0.000298742;-0.025163165;0.025461907;0.000648309;;;;
0.000298742;-0.015403688;0.015702429;0.000246566;;;;
0.000298742;-0.016508493;0.016807234;0.000282483;;;;
0.000298742;-0.016167595;0.016466337;0.00027114;;;;
0.000298742;-0.012931955;0.013230697;0.000175051;;;;
0.000298742;-0.012178813;0.012477555;0.000155689;;;;
0.000298742;-0.000600773;0.000899515;8.09128E-07;;;;
0.000298742;0.002987917;0.002689175;7.23166E-06;;;;
0.000298742;0.007492329;0.007193587;5.17477E-05;;;;
0.000298742;-0.00197592;0.002274662;5.17409E-06;;;;
0.000298742;0.001842489;0.001543747;2.38315E-06;;;;
0.000298742;-0.002171077;0.002469819;6.10001E-06;;;;
0.000298742;0.001409952;0.00111121;1.23479E-06;;;;
0.000298742;0.022838493;0.022539751;0.00050804;;;;
0.02811472;0.069001202;0.040886481;0.001671704;;;;
0.138584915;0.176039331;0.037454416;0.001402833;;;;
0.22031881;0.234490538;0.014171728;0.000200838;;;;
0.176760594;0.198152633;0.021392039;0.000457619;;;;
0.132629997;0.155354862;0.022724864;0.000516419;;;;
0.111448975;0.131393678;0.019944703;0.000397791;;;;
0.168770371;0.191957748;0.023187376;0.000537654;;;;
0.18442766;0.211307211;0.026879552;0.00072251;;;;
0.137323527;0.157467981;0.020144454;0.000405799;;;;
0.170434063;0.196180556;0.025746493;0.000662882;;;;
0.147783057;0.159894878;0.01211182;0.000146696;;;;
0.138018814;0.146949471;0.008930657;7.97566E-05;;;;
0.135538952;0.149117531;0.013578579;0.000184378;;;;
0.150536697;0.161194375;0.010657678;0.000113586;;;;
0.123317319;0.144637455;0.021320136;0.000454548;;;;
0.107842897;0.132422637;0.024579741;0.000604164;;;;
0.129015573;0.148028663;0.01901309;0.000361498;;;;
0.10621555;0.122469063;0.016253513;0.000264177;;;;
0.073092149;0.086477437;0.013385288;0.000179166;;;;
0.076724271;0.08694328;0.010219009;0.000104428;;;;
0.067044237;0.075122608;0.008078371;6.52601E-05;;;;
0.085566095;0.098944434;0.013378339;0.00017898;;;;
0.098015351;0.117704606;0.019689255;0.000387667;;;;
0.095490274;0.118155397;0.022665123;0.000513708;;;;
0.082446436;0.098060023;0.015613587;0.000243784;;;;
0.047183537;0.059298126;0.012114589;0.000146763;;;;
0.038757929;0.04771461;0.008956682;8.02221E-05;;;;
0.071684689;0.092242833;0.020558144;0.000422637;;;;
0.06069809;0.079339709;0.018641618;0.00034751;;;;
0.054332388;0.07460286;0.020270472;0.000410892;;;;
0.042582303;0.060832841;0.018250538;0.000333082;;;;
0.0268362;0.043007916;0.016171716;0.000261524;;;;
0.042594343;0.050971828;0.008377485;7.01823E-05;;;;
0.022703025;0.036673792;0.013970767;0.000195182;;;;
0.03803022;0.056280332;0.018250112;0.000333067;;;;
0.068630677;0.084679811;0.016049134;0.000257575;;;;
0.049025274;0.063010761;0.013985487;0.000195594;;;;
0.024465331;0.041645946;0.017180614;0.000295174;;;;
0.021584477;0.036855072;0.015270595;0.000233191;;;;
0.013241238;0.029774903;0.016533665;0.000273362;;;;
0.047469177;0.065242258;0.017773081;0.000315882;;;;
0.023723922;0.032240058;0.008516136;7.25246E-05;;;;
0.008716609;0.016950905;0.008234296;6.78036E-05;;;;
0.008072961;0.015741275;0.007668314;5.8803E-05;;;;
0.007750545;0.013595447;0.005844902;3.41629E-05;;;;
0.004819292;0.011657545;0.006838253;4.67617E-05;;;;
0.000298742;0.00822765;0.007928908;6.28676E-05;;;;
0.000298742;0.005145753;0.004847011;2.34935E-05;;;;
0.000298742;0.013384396;0.013085654;0.000171234;;;;
0.000298742;0.007652639;0.007353897;5.40798E-05;;;;
0.000298742;0.00434586;0.004047118;1.63792E-05;;;;
0.000298742;0.006592468;0.006293726;3.9611E-05;;;;
0.000298742;0.005766881;0.005468139;2.99005E-05;;;;
0.000298742;0.007847329;0.007548587;5.69812E-05;;;;
0.000298742;-2.61E-05;0.000324806;1.05499E-07;;;;
0.000298742;0.012071238;0.011772496;0.000138592;;;;
0.006820594;0.03429298;0.027472386;0.000754732;;;;
0.009994153;0.025086262;0.015092109;0.000227772;;;;
0.006586647;0.012329247;0.0057426;3.29775E-05;;;;
0.009943837;0.021929814;0.011985977;0.000143664;;;;
0.000555272;0.006748599;0.006193327;3.83573E-05;;;;
0.000298742;0.007675456;0.007376714;5.44159E-05;;;;
0.025624179;0.04725006;0.021625881;0.000467679;;;;
